Temperature,Humidity,Wet_Bulb,Cluster
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,79.0,23.72,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,79.0,23.72,2
26.6,79.0,23.72,2
26.7,79.0,23.82,2
26.6,79.0,23.72,2
26.6,79.0,23.72,2
26.6,79.0,23.72,2
26.6,79.0,23.72,2
26.7,80.0,23.96,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.6,80.0,23.87,2
26.5,80.0,23.77,2
26.3,80.0,23.58,2
26.0,80.0,23.29,2
26.0,80.0,23.29,2
26.1,80.0,23.39,2
26.1,80.0,23.39,2
26.2,81.0,23.62,2
26.3,80.0,23.58,2
26.4,80.0,23.67,2
26.4,80.0,23.67,2
26.5,80.0,23.77,2
26.5,80.0,23.77,2
26.5,80.0,23.77,2
26.4,80.0,23.67,2
26.4,80.0,23.67,2
26.4,80.0,23.67,2
26.4,80.0,23.67,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.2,81.0,23.62,2
26.2,81.0,23.62,2
26.1,82.0,23.67,2
26.1,82.0,23.67,2
26.1,82.0,23.67,2
26.1,82.0,23.67,2
26.2,82.0,23.76,2
26.2,82.0,23.76,2
26.2,82.0,23.76,2
26.2,82.0,23.76,2
26.1,82.0,23.67,2
26.0,82.0,23.57,2
26.0,83.0,23.71,2
26.0,83.0,23.71,2
26.0,83.0,23.71,2
26.0,84.0,23.85,2
26.0,83.0,23.71,2
26.0,84.0,23.85,2
26.0,83.0,23.71,2
26.0,83.0,23.71,2
26.0,84.0,23.85,2
26.0,84.0,23.85,2
26.0,84.0,23.85,2
26.0,83.0,23.71,2
26.0,84.0,23.85,2
26.0,83.0,23.71,2
26.0,84.0,23.85,2
26.0,84.0,23.85,2
26.0,84.0,23.85,2
26.0,84.0,23.85,2
26.1,84.0,23.95,2
26.1,84.0,23.95,2
26.2,84.0,24.04,2
26.2,84.0,24.04,2
26.2,84.0,24.04,2
26.2,84.0,24.04,2
26.3,84.0,24.14,2
26.4,84.0,24.24,2
26.5,83.0,24.19,2
26.4,84.0,24.24,2
26.4,84.0,24.24,2
26.3,84.0,24.14,2
26.3,84.0,24.14,2
26.4,84.0,24.24,2
26.4,84.0,24.24,2
26.4,84.0,24.24,2
26.4,83.0,24.1,2
26.4,83.0,24.1,2
26.4,83.0,24.1,2
26.4,83.0,24.1,2
26.4,83.0,24.1,2
26.4,82.0,23.96,2
26.3,82.0,23.86,2
26.3,82.0,23.86,2
26.3,82.0,23.86,2
26.3,82.0,23.86,2
26.3,83.0,24.0,2
26.3,83.0,24.0,2
26.3,83.0,24.0,2
26.3,83.0,24.0,2
26.2,83.0,23.9,2
26.3,82.0,23.86,2
26.3,82.0,23.86,2
26.4,82.0,23.96,2
26.5,82.0,24.05,2
26.5,81.0,23.91,2
26.4,81.0,23.81,2
26.5,81.0,23.91,2
26.4,81.0,23.81,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.2,81.0,23.62,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.2,80.0,23.48,2
26.2,81.0,23.62,2
26.2,81.0,23.62,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.3,80.0,23.58,2
26.4,81.0,23.81,2
26.4,80.0,23.67,2
26.3,81.0,23.72,2
26.4,80.0,23.67,2
26.5,81.0,23.91,2
26.5,81.0,23.91,2
26.5,80.0,23.77,2
26.4,80.0,23.67,2
26.4,80.0,23.67,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.3,81.0,23.72,2
26.3,81.0,23.72,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.3,81.0,23.72,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.4,81.0,23.81,2
26.5,81.0,23.91,2
26.5,81.0,23.91,2
26.5,81.0,23.91,2
26.5,82.0,24.05,2
26.5,82.0,24.05,2
26.5,82.0,24.05,2
26.5,82.0,24.05,2
26.6,82.0,24.15,2
26.6,81.0,24.01,2
26.7,81.0,24.1,2
26.6,81.0,24.01,2
26.6,81.0,24.01,2
26.5,81.0,23.91,2
26.5,81.0,23.91,2
26.5,81.0,23.91,2
26.6,82.0,24.15,2
26.6,82.0,24.15,2
26.6,82.0,24.15,2
26.6,82.0,24.15,2
26.7,82.0,24.25,2
26.7,82.0,24.25,2
26.7,82.0,24.25,2
26.8,82.0,24.34,2
26.9,82.0,24.44,2
26.8,81.0,24.2,2
26.7,81.0,24.1,2
26.7,81.0,24.1,2
26.7,81.0,24.1,2
26.8,81.0,24.2,2
26.9,81.0,24.3,2
26.9,81.0,24.3,2
26.8,81.0,24.2,2
26.8,82.0,24.34,2
26.9,81.0,24.3,2
26.9,81.0,24.3,2
27.0,81.0,24.39,2
27.0,81.0,24.39,2
27.0,80.0,24.25,2
27.0,81.0,24.39,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.1,80.0,24.35,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.1,80.0,24.35,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.2,80.0,24.44,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.0,80.0,24.25,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.1,80.0,24.35,2
27.0,80.0,24.25,2
27.0,79.0,24.11,2
27.0,80.0,24.25,2
27.0,80.0,24.25,2
27.1,80.0,24.35,2
27.2,80.0,24.44,2
27.2,80.0,24.44,2
27.2,79.0,24.3,2
27.1,79.0,24.2,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.1,78.0,24.06,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.1,79.0,24.2,2
27.2,79.0,24.3,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,79.0,24.11,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,78.0,23.96,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.1,79.0,24.2,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.1,79.0,24.2,2
27.1,79.0,24.2,2
27.1,79.0,24.2,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.1,79.0,24.2,2
27.1,79.0,24.2,2
27.0,79.0,24.11,2
27.1,79.0,24.2,2
27.1,79.0,24.2,2
27.2,79.0,24.3,2
27.1,78.0,24.06,2
27.2,78.0,24.15,2
27.2,78.0,24.15,2
27.1,78.0,24.06,2
27.1,78.0,24.06,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.0,79.0,24.11,2
27.1,78.0,24.06,2
27.1,78.0,24.06,2
27.1,78.0,24.06,2
27.2,78.0,24.15,2
27.2,78.0,24.15,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.3,77.0,24.1,2
27.3,77.0,24.1,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.2,77.0,24.01,2
27.3,77.0,24.1,2
27.3,77.0,24.1,2
27.4,77.0,24.2,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.4,76.0,24.05,2
27.3,77.0,24.1,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,76.0,24.05,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,77.0,24.2,2
27.4,78.0,24.34,2
27.4,78.0,24.34,2
27.4,78.0,24.34,2
27.3,78.0,24.25,2
27.2,78.0,24.15,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.2,79.0,24.3,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.2,79.0,24.3,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,79.0,24.39,2
27.3,78.0,24.25,2
27.3,79.0,24.39,2
27.4,78.0,24.34,2
27.4,79.0,24.49,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
